food_code,food_name,food_group,moisture_g,energy_kcal,protein_g,fat_g,carb_g,fibre_g,calcium_mg,iron_mg,zinc_mg,magnesium_mg,potassium_mg,vitamin_a_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_b12_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,folate_mcg
C001,Rice (raw),Cereals,12.5,345,6.8,0.5,78.2,0.2,10,0.7,1.1,25,115,0,0,0,0,0.21,0.06,4.3,8
C002,Wheat flour (whole),Cereals,13.3,341,11.8,1.5,71.2,1.9,41,4.9,2.9,138,284,0,0,0,0,0.41,0.14,5.1,57
P001,Moong dal (raw),Pulses,10.1,334,24.5,1.2,59.9,4.1,124,6.7,2.7,189,1246,3,4.8,0,0,0.47,0.21,2.6,149
P002,Toor dal (raw),Pulses,9.9,335,22.3,1.7,62.7,1.5,73,5.3,2.0,153,1052,2,0,0,0,0.45,0.19,2.9,99
P003,Rajma (raw),Pulses,11.2,333,22.9,1.3,60.1,6.4,130,5.1,3.2,163,1406,0,0,0,0,0.56,0.22,2.2,394
V001,Spinach (raw),Vegetables,91.5,26,2.0,0.7,2.9,0.6,73,1.1,0.5,57,466,9625,28,0,0,0.03,0.10,0.5,194
V002,Fenugreek leaves (raw),Vegetables,86.1,49,4.4,0.9,6.0,1.1,395,1.9,0.7,67,738,390,52,0,0,0.04,0.31,0.8,47
V003,Tomato (raw),Vegetables,93.1,20,0.9,0.2,3.6,0.7,20,0.6,0.1,11,217,42,27,0,0,0.06,0.04,0.5,15
V004,Onion (raw),Vegetables,86.8,50,1.2,0.1,11.1,1.8,47,0.6,0.2,14,157,0,11,0,0,0.04,0.01,0.4,30
V005,Garlic (raw),Vegetables,62.8,145,6.3,0.1,29.0,1.5,38,1.2,1.0,25,401,0,31,0,0,0.20,0.11,0.7,3
D001,Paneer,Dairy,55.5,265,18.3,20.8,1.2,0,208,0.2,2.9,19,106,152,0,0,0.5,0.04,0.26,0.1,7
D002,Curd (whole milk),Dairy,88.3,62,3.1,3.4,4.4,0,149,0.1,0.4,12,147,29,0,0,0.4,0.03,0.14,0.1,11
F001,Ghee,Fats & Oils,0.3,900,0.5,99.5,0,0,17,0.1,0.1,0,5,599,0,0,0,0,0,0,0
F002,Mustard oil,Fats & Oils,0,900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F003,Groundnut oil,Fats & Oils,0,900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M001,Chicken (broiler raw),Meat & Poultry,73.6,109,18.6,3.0,0,0,10,0.9,1.5,20,220,60,0,0,0.3,0.07,0.12,6.8,4
E001,Eggs (hen whole),Eggs,73.8,173,13.3,13.3,0.7,0,56,1.9,1.3,12,129,140,0,2.0,1.3,0.10,0.30,0.1,47
Fi001,Rohu fish (raw),Fish,74.1,97,16.6,2.5,0,0,650,0.7,1.1,18,340,57,0,0,1.7,0.04,0.08,3.2,9
Fr001,Banana,Fruits,70.1,116,1.4,0.2,27.2,0.9,17,0.4,0.2,41,358,13,10,0,0,0.04,0.05,0.8,22
Fr002,Mango,Fruits,81.7,74,0.6,0.4,16.9,1.6,14,0.1,0.1,18,208,765,36,0,0,0.08,0.06,0.9,43
